image_id,file_name,file_path,nombre,descripcion_correcta
T01,T01.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T01.png,Franjas horizontales simétricas,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.
T02,T02.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T02.png,Franjas verticales alternadas,Textil andino sintético con franjas verticales alternadas y estructura visual ordenada.
T03,T03.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T03.png,Motivo escalonado,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.
T04,T04.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T04.png,Rombos centrales,Textil andino sintético con rombos centrales repetidos y simetría axial.
T05,T05.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T05.png,Cuadrícula modular tipo tocapu,"Textil andino sintético con composición modular en cuadrícula, inspirada en patrones tipo tocapu."
T06,T06.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T06.png,Bandas con motivos pequeños,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.
T07,T07.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T07.png,Composición tipo tablero,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.
T08,T08.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T08.png,Simetría bilateral,Textil andino sintético con composición bilateral y equilibrio visual entre ambos lados.
T09,T09.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T09.png,Alta densidad geométrica,Textil andino sintético de alta densidad geométrica con repetición de figuras pequeñas.
T10,T10.png,d:\Documentos\000. MSC\3er Ciclo\Multimodal\mcc225-albef-textiles-andinos\data\images\T10.png,Motivo central con marco,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.
