imagen_id,texto_correcto,rank_texto_correcto,score_texto_correcto,texto_top1,tipo_top1,score_top1,top1_es_correcto,gap_top1_vs_correcto,texto_top1_descripcion,texto_correcto_descripcion
T01,TXT_01,1,0.24360311,TXT_01,correcto,0.24360311,True,0.0,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.
T02,TXT_02,7,0.19715613,TXT_03,correcto,0.22939649,False,0.03224036,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,Textil andino sintético con franjas verticales alternadas y estructura visual ordenada.
T03,TXT_03,4,0.21754526,TXT_13,distractor,0.2492955,False,0.031750247,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.
T04,TXT_04,7,0.20099637,TXT_13,distractor,0.2533554,False,0.052359045,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,Textil andino sintético con rombos centrales repetidos y simetría axial.
T05,TXT_05,8,0.22050354,TXT_03,correcto,0.2736212,False,0.053117663,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,"Textil andino sintético con composición modular en cuadrícula, inspirada en patrones tipo tocapu."
T06,TXT_06,1,0.2719609,TXT_06,correcto,0.2719609,True,0.0,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.
T07,TXT_07,2,0.24976802,TXT_03,correcto,0.2530821,False,0.0033140779,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.
T08,TXT_08,3,0.21895741,TXT_13,distractor,0.24979593,False,0.03083852,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,Textil andino sintético con composición bilateral y equilibrio visual entre ambos lados.
T09,TXT_09,4,0.23205711,TXT_03,correcto,0.25153136,False,0.019474253,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,Textil andino sintético de alta densidad geométrica con repetición de figuras pequeñas.
T10,TXT_10,3,0.21306705,TXT_13,distractor,0.22642802,False,0.013360962,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.
