texto_id,texto,imagen_correcta,rank_imagen_correcta,score_imagen_correcta,imagen_top1,score_top1,top1_es_correcto,gap_top1_vs_correcto
TXT_01,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.,T01,1,0.24360311,T01,0.24360311,True,0.0
TXT_02,Textil andino sintético con franjas verticales alternadas y estructura visual ordenada.,T02,3,0.19715613,T06,0.2095581,False,0.012401968
TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,T03,9,0.21754526,T05,0.2736212,False,0.056075945
TXT_04,Textil andino sintético con rombos centrales repetidos y simetría axial.,T04,3,0.20099637,T09,0.21809518,False,0.017098814
TXT_05,"Textil andino sintético con composición modular en cuadrícula, inspirada en patrones tipo tocapu.",T05,2,0.22050354,T06,0.22980064,False,0.009297103
TXT_06,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.,T06,1,0.2719609,T06,0.2719609,True,0.0
TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,T07,2,0.24976802,T05,0.2585175,False,0.008749485
TXT_08,Textil andino sintético con composición bilateral y equilibrio visual entre ambos lados.,T08,3,0.21895741,T05,0.2309883,False,0.012030885
TXT_09,Textil andino sintético de alta densidad geométrica con repetición de figuras pequeñas.,T09,1,0.23205711,T09,0.23205711,True,0.0
TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,T10,9,0.21306705,T05,0.25801438,False,0.044947326
