text_id,texto
TXT_01,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.
TXT_02,Textil andino sintético con franjas verticales alternadas y estructura visual ordenada.
TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.
TXT_04,Textil andino sintético con rombos centrales repetidos y simetría axial.
TXT_05,"Textil andino sintético con composición modular en cuadrícula, inspirada en patrones tipo tocapu."
TXT_06,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.
TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.
TXT_08,Textil andino sintético con composición bilateral y equilibrio visual entre ambos lados.
TXT_09,Textil andino sintético de alta densidad geométrica con repetición de figuras pequeñas.
TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.
TXT_11,Textil sintético con composición radial y círculos concéntricos.
TXT_12,Diseño visual con figuras animales estilizadas y distribución dispersa.
TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.
TXT_14,Composición de textura orgánica irregular sin repetición geométrica dominante.
TXT_15,Textil sintético con bandas curvas ondulantes y organización fluida.
