imagen_id,rank,texto_id,texto,tipo_texto,score,texto_correcto,es_correcto
T01,2,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.23036858439445496,TXT_01,False
T01,3,TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,correcto,0.22442583739757538,TXT_01,False
T02,1,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.2293964922428131,TXT_02,False
T02,2,TXT_01,Textil andino sintético con franjas horizontales repetidas y organización simétrica del color.,correcto,0.21807225048542023,TXT_02,False
T02,3,TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,correcto,0.2150239646434784,TXT_02,False
T03,1,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.24929550290107727,TXT_03,False
T03,2,TXT_06,Textil andino sintético con bandas decorativas y pequeños motivos geométricos repetidos.,correcto,0.22903843224048615,TXT_03,False
T03,3,TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,correcto,0.22312940657138824,TXT_03,False
T04,1,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.2533554136753082,TXT_04,False
T04,2,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.22737587988376617,TXT_04,False
T04,3,TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,correcto,0.22260832786560059,TXT_04,False
T05,1,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.27362120151519775,TXT_05,False
T05,2,TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,correcto,0.2585175037384033,TXT_05,False
T05,3,TXT_10,Textil andino sintético con motivo geométrico central enmarcado por bandas decorativas.,correcto,0.25801438093185425,TXT_05,False
T06,2,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.25434088706970215,TXT_06,False
T06,3,TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,correcto,0.24927885830402374,TXT_06,False
T07,1,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.2530820965766907,TXT_07,False
T07,3,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.2369368076324463,TXT_07,False
T08,1,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.24979592859745026,TXT_08,False
T08,2,TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,correcto,0.22381961345672607,TXT_08,False
T09,1,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.24249714612960815,TXT_09,False
T09,2,TXT_07,Textil andino sintético con bloques cuadrados alternados en composición regular tipo tablero.,correcto,0.2356812208890915,TXT_09,False
T10,1,TXT_13,Patrón textil con diagonales cruzadas y fuerte contraste cromático.,distractor,0.22642801702022552,TXT_10,False
T10,2,TXT_03,Textil andino sintético con motivo geométrico escalonado repetido en composición regular.,correcto,0.2205645889043808,TXT_10,False
